,Question,Category,Source
0,Which of these animals is an herbivore?,Nature,hq_buff_us
1,A French manicure typically includes what color nail polish?,Art & Design,hq_buff_us
2,Which of these is NOT a name of a recent White House pet?,Nature,hq_buff_us
3,One of the former “Mythbusters” hosts is known for wearing what kind of hat?,TV,hq_buff_us
4,"In the Greek legend, Sisyphus is punished for what?",History,hq_buff_us
5,Which of these megastars has a noticeable diastema?,Entertainment,hq_buff_us
6,"Which ’80s talking doll was known for the catchphrase, “Are we having fun or what?”",Games,hq_buff_us
7,Which of these is a title of the official homepage of an Oscar-winning actor?,Tech,hq_buff_us
8,The most popular TED talk video of all time is about what?,Entertainment,hq_buff_us
9,The singer famous for “Girls Just Want to Have Fun” sang the theme song to which TV show?,TV,hq_buff_us
10,What part of a song do singers in a rock band typically perform?,Music,hq_buff_us
11,What gum brand weirdly translates to “three teeth”?,Cuisine,hq_buff_us
12,What word can mean either a punctuation mark or “to hurry”?,Language,hq_buff_us
13,Which of these nations lies in Sub-Saharan Africa?,Geography,hq_buff_us
14,"If a regular-season NHL game goes into overtime, what happens first?",Sports,hq_buff_us
15,Stannous fluoride is fluoride containing what?,Science,hq_buff_us
16,Who is the only person named Oscar to win an Oscar?,Movies,hq_buff_us
17,Which is NOT a category of Pulitzer Prize?,Literature,hq_buff_us
18,A real-life coding glitch put what accidental Pokémon into the first two games?,Games,hq_buff_us
19,Which of these is NOT an example of a venomous mammal?,Nature,hq_buff_us
20,A “TV Guide” list of the worst shows ever included what spinoff of the legendary sitcom “M*A*S*H”?,TV,hq_buff_us
21,The exterior of Washington National Cathedral in America’s capital features a carving of who?,Culture,hq_buff_us
22,"In a popular myth, what is said to be at the end of a rainbow?",Entertainment,hq_buff_us
23,Asking someone to do the opposite of what you want is known as what kind of psychology?,Science,hq_buff_us
24,"Within a play, a group of characters who comment on the drama is known as what?",Entertainment,hq_buff_us
25,"In the novel “The Sisterhood of the Traveling Pants,” what kind of pants were shared?",Literature,hq_buff_us
26,"In hiking, taking a zig zag route up a mountain is known as what?",Nature,hq_buff_us
27,The star of what film was recently cast as Tony in the remake of “West Side Story”?,Entertainment,hq_buff_us
28,Compounds known as lipids are often found in what?,Science,hq_buff_us
29,Which of these rappers has the username LilTunechi on Twitter?,Tech,hq_buff_us
30,Title IX is a landmark American civil rights law most directly affecting what system?,History,hq_buff_us
31,Which character was in all eight original “Harry Potter” movies?,Movies,hq_buff_us
32,Which of these famous sculptures does NOT have Morton’s Toe?,Art & Design,hq_buff_us
33,"In Pitbull’s massive 2013 hit featuring Kesha, what athlete is mentioned?",Music,hq_buff_us
34,A popular ’90s saying informed people to “talk to the” what?,Culture,hq_buff_us
35,"What was the translucent, colorful plastic footwear trendy in the ’90s known as?",Fashion,hq_buff_us
36,What was the title of a classic Blind Melon song whose video featured a girl dressed as a bee?,Music,hq_buff_us
37,"In “Beverly Hills, 90210,” where did Brandon and Brenda live before moving to Beverly Hills?",TV,hq_buff_us
38,Which of these was NOT a typical life cycle for a Tamagotchi character?,Games,hq_buff_us
39,"Featured on “Ally McBeal,” what lyrics accompanied the viral 1996 “Dancing Baby” video?",History,hq_buff_us
40,’90s hunk Fabio was part of a memorable advertising campaign for what?,Business,hq_buff_us
41,The Tonya Harding/Nancy Kerrigan controversy mainly took place the month before which Olympics?,Sports,hq_buff_us
42,Crystal Pepsi was introduced in a Super Bowl ad with a song by who?,Music,hq_buff_us
43,Michael Jordan’s final point scored with the Chicago Bulls was what kind of shot?,Sports,hq_buff_us
44,Which of these films was Chris Farley’s movie debut?,Movies,hq_buff_us
45,"In Left Eye’s solo verse in “No Scrubs,” what type of technology does she compare the scrub to?",Music,hq_buff_us
46,In which sport are points usually scored by sending a ball from a little net into a much bigger net?,Sports,hq_buff_us
47,"In the NFL, which of these plays is worth the greatest number of points?",Sports,hq_buff_us
48,An NHL hockey team is specifically permitted to ice the puck in what situation?,Sports,hq_buff_us
49,What NFL player just became the first since 2005 to have four straight games with a sack and forced fumble?,Sports,hq_buff_us
50,Which swimming stroke is performed in the greatest number of current Olympic competitions?,Sports,hq_buff_us
51,What school’s women’s basketball team set the record for the most consecutive weeks in the AP top 25?,Sports,hq_buff_us
52,Khris Davis just became the first player to have what identical MLB statistic four years in a row?,Sports,hq_buff_us
53,Which achievement was Althea Gibson NOT the first black woman to reach?,Sports,hq_buff_us
54,What NFL team plays its home games farthest north?,Sports,hq_buff_us
55,The starting MLB pitcher who last won the Cy Young with the fewest wins played for what team?,Sports,hq_buff_us
56,"If Tiger Woods wins the Masters next year, he’ll tie Hale Irwin and three others for what record?",Sports,hq_buff_us
57,The only person to medal in both Winter and Summer Olympics in one year did so in what events?,Sports,hq_buff_us
58,"Franklin Roosevelt famously said, “The only thing we have to fear is” what?",History,hq_buff_us
59,Denim pants with a loose fit and high waistline are commonly called what?,Fashion,hq_buff_us
60,Which of these is a fairly popular soda flavor?,Cuisine,hq_buff_us
61,What kind of spider often has a red hourglass marking?,Nature,hq_buff_us
62,What does the “p” stand for in the audio format .mp3?,Tech,hq_buff_us
63,What was TV newscaster Walter Cronkite’s longtime sign-off phrase?,TV,hq_buff_us
64,A 19th-century person in what profession is credited with founding the science of genetics?,Science,hq_buff_us
65,"What was the first video game to use feature-quality, hand-drawn animation instead of computer graphics?",Games,hq_buff_us
66,What rock band famously parodied the jacket design of Elvis Presley’s debut album?,Music,hq_buff_us
67,Which two countries have capitals starting with the same four letters in English?,Geography,hq_buff_us
68,Which character appears in only one of Shakespeare’s plays?,Entertainment,hq_buff_us
69,The only actor with a speaking live-action part in a Pixar movie was in what other film?,Movies,hq_buff_us
70,Which of these is a massively popular online search engine?,Tech,hq_buff_us
71,Which is NOT a common type of computer memory?,Tech,hq_buff_us
72,What type of tech is commonly used to connect computers on a local area network?,Tech,hq_buff_us
73,What mobile device is made by the company that invented the Xbox?,Tech,hq_buff_us
74,What tiny unit of storage is equivalent to half a byte?,Tech,hq_buff_us
75,"In the 90s, what company packaged its computers in spotted boxes resembling cow markings?",Tech,hq_buff_us
76,"Calling it a “stolen product,” Steve Jobs vowed to destroy what operating system?",Tech,hq_buff_us
77,"Alan Turing’s theoretical ""Turing Machine"" was designed to perform calculations using what?",Tech,hq_buff_us
78,Which element has an alternate name that forms part of the title of a widely-used search engine?,Tech,hq_buff_us
79,What game console could play remotely with other consoles through a separate modem-like add-on?,Tech,hq_buff_us
80,A famous Nick Bostrom thought experiment about the risks of AI involves the supply of what?,Tech,hq_buff_us
81,The first-ever website was in what top-level domain?,Tech,hq_buff_us
82,Shrimp is most often paired with which of these foods in the South?,Cuisine,hq_buff_us
83,Which of these is a type of fancy shoe?,Fashion,hq_buff_us
84,Which of these animals is technically a type of rodent?,Nature,hq_buff_us
85,Trousers that remain wide-legged all the way through the ankle are known as what?,Fashion,hq_buff_us
86,Which of these places is NOT currently classified as a “city-state”?,Geography,hq_buff_us
87,Which of these ubiquitous tech symbols is an example of Cubism?,Tech,hq_buff_us
88,"According to the “Ducktales” theme song, what kind of tales are being had?",Music,hq_buff_us
89,Which of these camera advancements was first introduced?,Tech,hq_buff_us
90,A ram’s horn known as a shofar is typically blown during which Jewish event?,Culture,hq_buff_us
91,Which major child-related medical advancement first happened in the ’80s?,Science,hq_buff_us
92,Which TV show debuted with the coveted post-Super Bowl time slot?,TV,hq_buff_us
93,Which film’s lead character says the fewest words?,Movies,hq_buff_us
94,The exchange from center to quarterback is called the what?,Sports,hq_buff_us
95,Wayne Gretzky has been credited with saying “you miss 100% of the shots you don’t” what?,Sports,hq_buff_us
96,Which of these sports has the fewest number of players on the field at one time?,Sports,hq_buff_us
97,"In baseball, the term “split-finger fastball” refers to what specific two fingers being split?",Sports,hq_buff_us
98,Which pitcher did NOT reach the 20-win mark this year in MLB?,Sports,hq_buff_us
99,What football team was the last to win the Super Bowl with a left-handed starting QB?,Sports,hq_buff_us
100,Brett Favre tossed the most touchdowns in a single game while playing for what team?,Sports,hq_buff_us
101,"Who is the only player with a triple double of at least 20 points, rebounds and assists in an NBA game?",Sports,hq_buff_us
102,Who was the last person Serena Williams defeated in a Grand Slam singles final?,Sports,hq_buff_us
103,Who is NOT one of the boxers who is tied for most appearances on HBO?,Sports,hq_buff_us
104,Who set the NHL record for goals by a rookie born in the United States?,Sports,hq_buff_us
105,"During this year’s Ryder Cup, which of these numbers was highest?",Sports,hq_buff_us
106,"According to the lyrics of their smash hit “Everybody,” where are the Backstreet Boys?",Music,hq_buff_us
107,The boy band One Direction included which of these people?,Music,hq_buff_us
108,The massive global boy band BTS hails from what place?,Music,hq_buff_us
109,Which boy band released the slow ballad “I Do (Cherish You)”?,Music,hq_buff_us
110,"What does the ""O"" stand for in O-Town?",Music,hq_buff_us
111,Which of these boy bands released a Christmas album called “Santa Hooked Me Up”?,Music,hq_buff_us
112,Which of these was NOT a real character in MTV’s parody boy band 2gether?,Music,hq_buff_us
113,The star of which film was almost a full-time member of New Kids on the Block?,Music,hq_buff_us
114,The Jonas brothers once starred in a show where they played characters with what last name?,Music,hq_buff_us
115,The boy band featuring Ricky Martin had a Spanish name that figuratively translated to what?,Music,hq_buff_us
116,Which member of New Kids on the Block was NOT from the same neighborhood as the other four?,Music,hq_buff_us
117,"In the “Bye Bye Bye” music video, what does JC Chasez do in the car when the music stops?",Music,hq_buff_us
118,Which of these places have humans traveled to by rocket ship?,Science,hq_buff_us
119,"On the periodic table, the letter C is the chemical symbol for what?",Science,hq_buff_us
120,"In the human body, the lumbar region is located where?",Nature,hq_buff_us
121,The term “Hellenic” refers to a person or thing from what country?,Language,hq_buff_us
122,Which of these places was visited by Christopher Columbus?,History,hq_buff_us
123,Which of these classic ’80s movies spawned a theatrically-released sequel?,Movies,hq_buff_us
124,"By definition, which of these wools can only come from a goat?",Fashion,hq_buff_us
125,What is the distinctive featured ingredient in traditional shoofly pie?,Cuisine,hq_buff_us
126,Which artist’s work can you see at New York City’s MoMA?,Art & Design,hq_buff_us
127,Which of these is NOT a prestigious award for children’s books?,Literature,hq_buff_us
128,Which is a term for the bottom bone in a horse’s leg?,Nature,hq_buff_us
129,Which of these artists has an album with the longest title?,Music,hq_buff_us
130,Which hybrid sport combining two games has competitive leagues in Europe and Asia?,Sports,hq_buff_us
131,The top-level domain .tv originates from a nation located where?,Geography,hq_buff_us
132,"In the series finale, which of these classic TV shows was NOT revealed to be a fantasy?",TV,hq_buff_us
133,"By definition, a QB on a football team is what?",Sports,hq_buff_us
134,The material designed to capture wind and propel a boat is generally known as what?,Language,hq_buff_us
135,Which of these sandwiches typically features three pieces of bread?,Cuisine,hq_buff_us
136,Which of these is necessary to complete photosynthesis?,Science,hq_buff_us
137,“Where do you want to go today?” was the longtime slogan of what tech company?,Business,hq_buff_us
138,Piggy has a rough time while stranded on an island in a novel written by whom?,Literature,hq_buff_us
139,Which movie features multiple discussions mentioning the painter Monet?,Movies,hq_buff_us
140,Mobster Salvatore Gravano’s nickname references the male version of what animal?,Entertainment,hq_buff_us
141,JFK once compared the combined talents of a room of Nobel Prize winners to what single man?,History,hq_buff_us
